"admn_no";"student_id";"first_name";"last_name";"class";"section";"gender";"date_of_birth";"contact";"address";"blood_group";"date_of_join"
"A169";12220;"Rahul";"Chandra";12;"B";"M";"2006-09-01";"91-9992345678";"2101 Acacia Avenue, Nizamabad, Telangana, 503001";"A+";"2010-08-13"
"A170";12221;"Ramesh";"Aravind";12;"B";"M";"2006-11-30";"91-9993456789";"876 Juniper Road, Ambala, Haryana, 134003";"A+";"2010-08-14"
"A171";12222;"Robert";"Ramaswamy";12;"B";"M";"2006-01-25";"91-9993456789";"1233 Walnut Street, Bellary, Karnataka, 583101";"A+";"2010-08-15"
"A172";12223;"Ashwath";"Adnup";12;"B";"M";"2007-01-30";"91-9994567890";"456 Chestnut Lane, Kakinada, Andhra Pradesh, 533001";"B+";"2010-08-16"
"A173";12224;"Shambhavi";"Sashwath";12;"B";"F";"2007-04-11";"91-9994567890";"789 Sycamore Avenue, Bhagalpur, Bihar, 812001";"A+";"2010-08-17"
"A174";12225;"Soohasini";"Aravind";12;"B";"F";"2006-05-21";"91-9995678901";"321 Laurel Road, Gandhidham, Gujarat, 370201";"O-";"2010-08-18"
"A175";12226;"Vidyutha";"Venkatesh";12;"B";"F";"2007-06-14";"91-9995678901";"654 Pine Lane, Jammu, Jammu and Kashmir, 180001";"A+";"2010-08-19"
"A176";12301;"Aamir";"Mohammud";12;"C";"M";"2006-09-02";"91-9996789012";"987 Birch Street, Davanagere, Karnataka, 577001";"AB+";"2010-08-20"
"A177";12302;"Abhinaya";"Sivaji";12;"C";"F";"2006-11-29";"91-9996789012";"234 Cedar Avenue, Warangal, Telangana, 506002";"A+";"2010-08-21"
"A178";12303;"Abhishek";"Raghuram";12;"C";"M";"2006-01-24";"91-9997890123";"567 Oak Street, Tiruvannamalai, Tamil Nadu, 606601";"O+";"2010-08-22"
"A179";12304;"Adipurush";"Shankar";12;"C";"M";"2007-01-29";"91-9997890123";"890 Elm Lane, Guntakal, Andhra Pradesh, 515801";"A+";"2010-08-23"
"A180";12305;"Akshara";"Hariharan";12;"C";"F";"2007-04-12";"91-9998901234";"1234 Redwood Road, Proddatur, Andhra Pradesh, 516361";"A+";"2010-08-24"
"A181";12306;"Alisha";"Sehgal";12;"C";"F";"2006-05-22";"91-9998901234";"3456 Magnolia Street, Ongole, Andhra Pradesh, 523001";"O+";"2010-08-25"
"A182";12307;"Archana";"Hariprasad";12;"C";"F";"2007-06-13";"91-9999012345";"6789 Acacia Lane, Tenali, Andhra Pradesh, 522201";"A+";"2010-08-26"
"A183";12308;"Balakucham";"Sankaran";12;"c";"F";"2006-09-03";"91-9999012345";"4321 Juniper Avenue, Cuddapah, Andhra Pradesh, 516001";"A+";"2010-08-27"
"A184";12309;"Charunika";"Aswath";12;"C";"F";"2006-11-28";"91-9990123456";"7654 Walnut Road, Kurnool, Andhra Pradesh, 518001";"O+";"2010-08-28"
"A185";12310;"Deepika";"Gangadhar";12;"C";"F";"2006-01-23";"91-9990123456";"9876 Chestnut Road, Adoni, Andhra Pradesh, 518301";"B+";"2010-08-29"
"A186";12311;"Divya";"Patani";12;"C";"F";"2007-01-28";"91-9991234567";"5432 Cedar Lane, Miryalaguda, Telangana, 508207";"B+";"2010-08-30"
"A187";12312;"Feros";"Omar";12;"C";"M";"2007-04-13";"91-9991234567";"8765 Oak Street, Suryapet, Telangana, 508213";"O-";"2010-08-31"
"A188";12313;"Hardik";"Pandya";12;"C";"M";"2006-05-23";"91-9992345678";"2101 Elm Road, Karimnagar, Telangana, 505001";"O+";"2010-09-01"
"A189";12314;"James";"Daniel";12;"C";"M";"2007-06-12";"91-9992345678";"876 Willow Street, Khammam, Telangana, 507002";"A+";"2010-09-02"
"A190";12315;"Janani";"Ramakrishnan";12;"C";"F";"2006-09-04";"91-9993456789";"1233 Pine Avenue, Eluru, Andhra Pradesh, 534001";"O+";"2010-09-03"
"A191";12316;"Jayashree";"Ajith";12;"C";"F";"2006-11-27";"91-9993456789";"456 Birch Road, Nalgonda, Telangana, 508001";"O+";"2010-09-04"
"A192";12317;"Nagarjun";"Sathyaraj";12;"C";"M";"2006-01-22";"91-9994567890";"789 Sycamore Lane, Bhimavaram, Andhra Pradesh, 534201";"O+";"2010-09-05"
"A193";12318;"Neha";"Prayag";12;"C";"F";"2007-01-27";"91-9994567890";"321 Redwood Street, Chittoor, Andhra Pradesh, 517001";"AB+";"2010-09-06"
"A194";12319;"Ranya";"Garde";12;"C";"F";"2007-04-14";"91-9995678901";"654 Magnolia Road, Kadiri, Andhra Pradesh, 515591";"B+";"2010-09-07"
"A195";12320;"Sachin";"Balasundaram";12;"C";"M";"2006-05-24";"91-9995678901";"9876 Juniper Lane, Kadapa, Andhra Pradesh, 516001";"O+";"2010-09-08"
"A196";12321;"Shrivatsa";"Ajithkumar";12;"C";"M";"2007-06-11";"91-9996789012";"5432 Walnut Avenue, Rajampet, Andhra Pradesh, 516115";"A+";"2010-09-09"
"A197";12322;"Sunil";"Rao";12;"C";"M";"2006-09-05";"91-9996789012";"8765 Chestnut Lane, Tadpatri, Andhra Pradesh, 515411";"B+";"2010-09-10"
"A198";12323;"Thomas";"Thangaraj";12;"C";"M";"2006-11-26";"91-9997890123";"2101 Cedar Road, Anantapur, Andhra Pradesh, 515001";"O+";"2010-09-11"
"A199";12324;"Urvasi";"Vibushnu";12;"C";"F";"2006-01-21";"91-9997890123";"876 Oak Avenue, Bangalore, Karnataka, 560001";"A+";"2010-09-12"
"A200";12325;"Venkatesh";"Ganeshan";12;"C";"M";"2007-01-26";"91-9998901234";"345 Elm Street, Mumbai, Maharashtra, 400001";"A+";"2010-09-13"
"A201";12326;"Vinaayakan";"Chozha";12;"C";"M";"2007-04-15";"91-9998901234";"678 Pine Road, Delhi, Delhi, 110001";"A+";"2010-09-14"
"A202";12401;"Anirudh";"Yoganand";12;"D";"M";"2006-05-25";"91-9999012345";"1233 Birch Lane, Kolkata, West Bengal, 700001";"A+";"2010-09-15"
"A203";12402;"Brijesh";"Hemanth";12;"D";"M";"2007-06-10";"91-9999012345";"456 Sycamore Road, Chennai, Tamil Nadu, 600001";"A+";"2010-09-16"
"A204";12403;"Dhiraj";"Krishnamurthi";12;"D";"M";"2006-09-06";"91-9990123456";"789 Willow Avenue, Hyderabad, Telangana, 500001";"A+";"2010-09-17"
"A205";12404;"Diksha";"Thamizh";12;"D";"F";"2006-11-25";"91-9990123456";"321 Redwood Street, Pune, Maharashtra, 411001";"A+";"2010-09-18"
"A206";12405;"Duraivel";"Sasitharan";12;"D";"M";"2006-01-20";"91-9991234567";"654 Magnolia Road, Ahmedabad, Gujarat, 380001";"O+";"2010-09-19"
"A207";12406;"Eesha";"Deol";12;"D";"F";"2007-01-25";"91-9991234567";"9876 Juniper Avenue, Jaipur, Rajasthan, 302001";"A+";"2010-09-20"
"A208";12407;"Eric";"Rajadurai";12;"D";"M";"2007-04-16";"91-9992345678";"5432 Walnut Lane, Lucknow, Uttar Pradesh, 226001";"O+";"2010-09-21"
"A209";12408;"Gautam";"Vasudev";12;"D";"M";"2006-05-26";"91-9992345678";"8765 Chestnut Street, Patna, Bihar, 800001";"O+";"2010-09-22"
"A210";12409;"Kamal";"Hassan";12;"D";"M";"2007-06-09";"91-9993456789";"2101 Cedar Road, Chandigarh, Punjab, 160001";"B+";"2010-09-23"
"A211";12410;"Kesava";"Lalith";12;"D";"M";"2006-09-07";"91-9993456789";"876 Oak Lane, Indore, Madhya Pradesh, 452001";"A+";"2010-09-24"
"A212";12411;"Kiran";"Rao";12;"D";"F";"2006-11-24";"91-9994567890";"345 Elm Avenue, Thiruvananthapuram, Kerala, 695001";"O+";"2010-09-25"
"A213";12412;"Koushik";"Balraman";12;"D";"M";"2006-01-19";"91-9994567890";"678 Pine Lane, Nagpur, Maharashtra, 440001";"B+";"2010-09-26"
"A214";12413;"Krishna";"Sathyanathan";12;"D";"M";"2007-01-24";"91-9995678901";"1233 Birch Street, Kanpur, Uttar Pradesh, 208001";"O+";"2010-09-27"
"A215";12414;"Lingesan";"Prabhu";12;"D";"M";"2006-01-10";"91-9995678901";"456 Sycamore Avenue, Surat, Gujarat, 395001";"AB+";"2010-09-28"
"A216";12415;"Prema";"Shyam";12;"D";"F";"2006-03-21";"91-9996789012";"789 Willow Road, Vadodara, Gujarat, 390001";"B+";"2010-09-29"
"A217";12416;"Ramany";"Gowrishankar";12;"D";"F";"2006-05-15";"91-9996789012";"321 Redwood Lane, Bhopal, Madhya Pradesh, 462001";"A+";"2010-09-30"
"A218";12417;"Sahana";"Sivaji";12;"D";"F";"2006-08-02";"91-9997890123";"654 Magnolia Street, Coimbatore, Tamil Nadu, 641001";"O+";"2010-10-01"
"A219";12418;"Senthamizh";"Sathya";12;"D";"F";"2006-10-11";"91-9997890123";"9876 Juniper Road, Ludhiana, Punjab, 141001";"O+";"2010-10-02"
"A220";12419;"Shanmugam";"Rajan";12;"D";"M";"2006-12-25";"91-9998901234";"5432 Walnut Avenue, Agra, Uttar Pradesh, 282001";"O+";"2010-10-03"
"A221";12420;"Sriram";"Prabhu";12;"D";"M";"2007-02-14";"91-9998901234";"8765 Chestnut Lane, Nashik, Maharashtra, 422001";"O+";"2010-10-04"
"A222";12421;"Tejaswini";"Lingam";12;"D";"F";"2007-04-30";"91-9999012345";"2101 Cedar Street, Meerut, Uttar Pradesh, 250001";"A+";"2010-10-05"
"A223";12422;"Vasanth";"Rajnikanth";12;"D";"M";"2007-06-07";"91-9999012345";"876 Oak Road, Faridabad, Haryana, 121001";"O+";"2010-10-06"
"A224";12423;"Vikram";"Kamal";12;"D";"M";"2007-09-18";"91-9990123456";"345 Elm Lane, Rajkot, Gujarat, 360001";"B+";"2010-10-07"
"A225";12424;"Vinay";"Dutta";12;"D";"M";"2007-11-05";"91-9990123456";"678 Pine Avenue, Amritsar, Punjab, 143001";"AB+";"2010-10-08"
"A226";12425;"Vivek";"Oberoi";12;"D";"M";"2006-01-01";"91-9991234567";"1233 Birch Road, Allahabad, Uttar Pradesh, 211001";"B+";"2010-10-09"
"A227";12501;"Aarya";"Shivanesan";12;"E";"F";"2006-03-09";"91-9991234567";"456 Sycamore Lane, Jabalpur, Madhya Pradesh, 482001";"O+";"2010-10-10"
"A228";12502;"Ahsaas";"Channa";12;"E";"F";"2006-05-26";"91-9992345678";"789 Willow Street, Jamshedpur, Jharkhand, 831001";"AB+";"2010-10-11"
"A229";12503;"Alex";"Pandian";12;"E";"M";"2006-08-06";"91-9992345678";"321 Redwood Avenue, Gwalior, Madhya Pradesh, 474001";"B+";"2010-10-12"
"A230";12504;"Anbarivu";"Arumugan";12;"E";"M";"2006-10-22";"91-9993456789";"654 Magnolia Lane, Patna, Bihar, 800001";"A+";"2010-10-13"
"A231";12505;"Boomika";"Yuvan";12;"E";"F";"2006-12-08";"91-9993456789";"9876 Juniper Street, Delhi, Delhi, 110001";"B+";"2010-10-14"
"A232";12506;"Chandrikha";"Baasha";12;"E";"F";"2007-02-26";"91-9994567890";"5432 Walnut Road, Mumbai, Maharashtra, 400001";"A+";"2010-10-15"
"A233";12507;"Devdas";"Aaryan";12;"E";"M";"2007-04-15";"91-9994567890";"8765 Chestnut Avenue, Bangalore, Karnataka, 560001";"A+";"2010-10-16"
"A234";12508;"Guhan";"Muthu";12;"E";"M";"2007-06-01";"91-9995678901";"2101 Cedar Lane, Kolkata, West Bengal, 700001";"B+";"2010-10-17"
"A235";12509;"Jhanvi";"Giri";12;"E";"F";"2007-09-11";"91-9995678901";"876 Oak Street, Chennai, Tamil Nadu, 600001";"O+";"2010-10-18"
"A236";12510;"Shashanth";"Ethan";12;"E";"F";"2007-11-29";"91-9996789012";"345 Elm Road, Hyderabad, Telangana, 500001";"A+";"2010-10-19"
"A237";12511;"Lakshmi";"Johnathan";12;"E";"F";"2006-01-20";"91-9996789012";"678 Pine Lane, Pune, Maharashtra, 411001";"O+";"2010-10-20"
"A238";12512;"Manoj";"Jadeja";12;"E";"M";"2006-03-02";"91-9997890123";"1233 Birch Avenue, Ahmedabad, Gujarat, 380001";"B+";"2010-10-21"
"A239";12513;"Muthuswamy";"Dikshithar";12;"E";"M";"2006-05-08";"91-9997890123";"456 Sycamore Road, Jaipur, Rajasthan, 302001";"O+";"2010-10-22"
"A240";12514;"Raj Gopal";"Krish";12;"E";"M";"2006-08-19";"91-9998901234";"789 Willow Street, Lucknow, Uttar Pradesh, 226001";"O+";"2010-10-23"
"A241";12515;"Ravinder";"Padmanabhan";12;"E";"M";"2006-10-02";"91-9998901234";"876 Oak Street, Ahmedabad, Gujarat, 380001";"O+";"2010-10-24"
"A242";12516;"Ritesh";"Deshmuk";12;"E";"M";"2006-12-14";"91-9999012345";"345 Elm Road, Jaipur, Rajasthan, 302001";"A+";"2010-10-25"
"A243";12517;"Rohit";"Sharma";12;"E";"M";"2007-02-04";"91-9999012345";"678 Pine Lane, Lucknow, Uttar Pradesh, 226001";"O+";"2010-10-26"
"A244";12518;"Shankar";"Navaneeth";12;"E";"M";"2007-04-20";"91-9990123456";"1233 Birch Avenue, Patna, Bihar, 800001";"O+";"2010-10-27"
"A245";12519;"Siddharth";"Raj";12;"E";"M";"2007-06-09";"91-9990123456";"456 Sycamore Road, Chandigarh, Punjab, 160001";"A+";"2010-10-28"
"A246";12520;"Sudhir";"Kanagaraj";12;"E";"M";"2007-09-24";"91-9991234567";"789 Willow Street, Indore, Madhya Pradesh, 452001";"O+";"2010-10-29"
"A247";12521;"Sugeev";"Vellavan";12;"E";"M";"2007-11-09";"91-9991234567";"321 Redwood Avenue, Thiruvananthapuram, Kerala, 695001";"O+";"2010-10-30"
"A248";12522;"Vasu";"Trivedi";12;"E";"M";"2006-01-05";"91-9992345678";"654 Magnolia Road, Nagpur, Maharashtra, 440001";"A+";"2010-10-31"
"A249";12523;"Vetri";"Maaran";12;"E";"M";"2006-03-17";"91-9992345678";"9876 Juniper Avenue, Kanpur, Uttar Pradesh, 208001";"O+";"2010-11-01"
"A250";12524;"Visakh";"Reddy";12;"E";"M";"2006-05-20";"91-9993456789";"5432 Walnut Lane, Surat, Gujarat, 395001";"A+";"2010-11-02"
